id,name,address,phone,latitude,longitude,capacity,description,services,url
120,Hôpital Paris-Saclay (ORSAY),1  parvis de l'Hôpital  91400 ORSAY cedex,01 69 15 91 91,48.717361,2.190882,,,Anesthésie  Bloc opératoire  Centre de Retention Administrative  Centre de Soins  d'Accompagnement et de Prévention en Addictologie (CSAPA) spécialisé Alcool  Chirurgie du Sein / Sénologie  Chirurgie gynécologie  Chirurgie Orthopédique et Traumatologique  Chirurgie Viscérale / Urologie / Bariatrique  Consultations externes  Département d'Information Médicale  Equipe mobile gériatrique  Equipe opérationnelle d'hygiène et de prévention de l'infection nosocomiale (EOH)  Gynecologie - Osbtétrique - Matérnité  Hopital de jour pédiatrique  Imagerie médicale  Laboratoire de biologie médicale  Médecine 3 - Cardiologie / Hépato-gastro-entérologie  Médecine nucléaire (service hospitalier Frédéric Joliot)  Médecine polyvalente / Neurologie / Unité neurovasculaire / USINV  Oto-Rhino-Laryngologie  Pédiatrie / Néonatologie / Urgences pédiatriques  Pharmacie à usage interne (PUI)  Réanimation / surveillance continue USINV  Santé au travail  SMUR  Unité Médico-Chirurgicale Ambulatoire  Urgences adultes,https://etablissements.fhf.fr/annuaire/establishment/structure2505-establishment7767
121,EHPAD ALICE PRIN (PARIS 14EME ARRONDISSEMENT),9 Rue Maria Héléna Vieira da Silva  75014 PARIS 14EME ARRONDISSEMENT,n/a,48.828373,2.311369,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5583-establishment11573
122,C.M.P Marco Polo - Pôle 94i03/04 (Villeneuve-le-Roi),65 avenue de la République  94290 Villeneuve-le-Roi,01 48 53 45 69,48.731544,2.413615,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11819
123,Centre médico-psychologique 94G05 (Saint-Maur-des-Fossés),8 Boulevard de Champigny  94100 Saint-Maur-des-Fossés,01 41 81 45 45,48.798489,2.50352,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9551
124,C.M.P. - U.D.S.M rue Joyeuse - Pôle 94i02 - CCASA (Joinville-le-Pont),18 rue Joyeuse  94340 Joinville-le-Pont,01 42 83 53 84,48.818371,2.466808,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11814
125,cmp adultes (PARIS),11  rue Albert Bayet  75013 PARIS,n/a,48.830509,2.358951,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure3239-establishment7281
126,Centre médico-psychologique 94G03 (Champigny-sur-Marne),4/6 bis rue des Chrysanthèmes  94500 Champigny-sur-Marne,01 53 88 10 10,48.810246,2.558749,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9544
127,Direction des Hôpitaux des Armées (PARIS 12EME ARRONDISSEMENT),Cours des Maréchaux  Case 118 - Fort neuf de Vincennes - Cours des Maréchaux  75614 PARIS 12EME ARRONDISSEMENT 12,n/a,48.853497,2.348391,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5561-establishment11243
128,Centre d'accueil thérapeutique à temps partiel 94G01 (Fontenay-sous-Bois),24 rue Mot  94120 Fontenay-sous-Bois,01 48 76 47 47,48.846256,2.469514,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9539
129,CATTP Jean Moulin (SAINT-MAUR-DES-FOSSES),8 Boulevard de Champigny  94100 SAINT-MAUR-DES-FOSSES,01 41 81 45 45,48.798489,2.50352,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment10817
130,C.A.T.T.P Jeunes enfants La Marelle - CMP Pôle 94i02 - CCASA (Vincennes),7 rue Monmory  94300 Vincennes,01 43 28 77 78,48.849422,2.431699,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11809
131,Hôpital des Diaconesses (Paris),18 rue du Sergent Bauchat  75012 Paris,01 44 74 10 10,48.84507,2.392384,,,Centre de fertilité - l'assistance médicale à la procréation  Consultations - Hôpital des Diaconesses  Maternité  Radiologie - imagerie médicale  Unité de soins palliatifs,https://etablissements.fhf.fr/annuaire/establishment/structure3221-establishment6971
132,EHPAD GALIGNANI (NEUILLY-SUR-SEINE),89 BD BINEAU  92200 NEUILLY-SUR-SEINE,01 47 45 25 44,48.887573,2.277306,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5583-establishment9505
133,Centre medico psychologique Petit Paris (Grasse),78 Bd Victor Hugo  06135 Grasse,04 93 09 55 45,43.649796,6.917583,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure130-establishment198
134,CMP CATTP Espace Bastille - Pôle Paris Centre Est Enfant (Paris),63  rue de la Roquette  75011 Paris,01 47 00 50 63,48.856232,2.376128,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11802
135,Accueil de jour Accueil de jour thérapeutique Alzheimer (PARIS),68 rue des Plantes 75014 PARIS  68 rue des Plantes  75014 PARIS,01 40 52 41 47,48.826488,2.319853,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure4423-establishment10002
136,Centre de Jour Taillandiers - Pôle Paris11 (Paris),1 - 3 Passage des Taillandiers  75011 Paris,01 55 28 93 20,48.853954,2.374942,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11797
137,Etablissement de l'Aide Sociale à l'Enfance de l'Ouest Parisien (EASEOP) (PARIS 17EME ARRONDISSEMENT),9BIS RUE JEAN BAPTISTE DUMAS 75017 PARIS  9BIS RUE JEAN BAPTISTE DUMAS  75017 PARIS 17EME ARRONDISSEMENT,01 53 81 83 00,48.883202,2.292101,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2032-establishment12053
138,EHPAD HEROLD (PARIS),74 R GENERAL BRUNET  75019 PARIS,01 46 07 42 22,48.882999,2.394562,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5583-establishment9410
139,CMP Turbigo - Pôle Paris Centre (Paris),34 bis rue de Turbigo  75003 Paris,01 42 72 39 10,48.865101,2.354029,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11792
140,Institut de Formation en Soins Infirmiers (Epinay-sur-Orge),B.P. 13  91360 Epinay-sur-Orge,01 69 25 43 21,48.671982,2.324372,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2050-establishment9708
141,EHPAD HUGUETTE VALSECCHI (PARIS 15EME ARRONDISSEMENT),14 Rue Marie Skobstov  75015 PARIS 15EME ARRONDISSEMENT,n/a,48.830002,2.29,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5583-establishment11575
142,CMP - Unité Périnatale -C.A.T.T.P. (Choisy le Roi),16 avenue Gambetta  94600 Choisy le Roi,01 48 52 44 44,48.763641,2.402772,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11821
143,Centre de Soins  Accompagnement et Prévention en Addictologie CSAPA (Le Plessis-Trévise),91 bis avenue de la Maréchale  94420 Le Plessis-Trévise,01 45 76 64 45,48.803265,2.59438,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9553
144,CMP Mary Barnes - Pôle 94G16 (Charenton-le-Pont),1  rue de l'Abreuvoir  94220 Charenton-le-Pont,01 49 77 00 43,48.818607,2.417936,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11816
145,Foyer de postcure 94G02 (La Queue en brie),17 rue du général Leclerc  94510 La Queue en brie,01 45 93 77 89,48.785835,2.580475,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9547
146,AGEPS (PARIS),7 rue du fer à Moulin  75005 PARIS,01 46 69 13 13,48.839188,2.35519,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2040-establishment11359
147,C.M.P. - U.D.S.M - Pôle 94i02 - CCASA (Fontenay-sous-Bois),24 rue Emile Roux  94120 Fontenay-sous-Bois,01 48 75 19 00,48.847088,2.464933,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11811
148,Centre médico-psychologique 94G02 (Nogent-sur-Marne),66 rue de Coulmiers  94130 Nogent-sur-Marne,01 48 71 02 07,48.842003,2.491712,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment9541
149,EHPAD HARMONIE (BOISSY-SAINT-LEGER),2 PL CHARLES LOUIS  BP 35  94470 BOISSY-SAINT-LEGER,01 56 73 21 40,48.749928,2.503772,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure5583-establishment9510
150,CATTP (CHAMPIGNY SUR MARNE),4 bis - 6 rue Chrysanthèmes  94500 CHAMPIGNY SUR MARNE,01 48 80 91 18,48.810394,2.55879,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment10814
151,UTES - Pôle Paris Centre Est Enfant (Paris),64  rue de la Glacière  75013 Paris,01 42 33 97 67,48.832043,2.344325,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11804
152,Centre de santé polyvalent Consultations de médecine générale et spécialisée  sois dentaires et soins infirmiers (PARIS),89 bis  rue Haxo  89 bis  rue Haxo  75020 PARIS,08 10 10 11 03,48.874821,2.403017,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure3243-establishment10220
153,Centre Colbert - HDJ CATTP Pôle Paris 12 (Paris),31  rue de la Bréche aux Loups  75012 Paris,01 43 46 53 73,48.838093,2.394769,,,nan,https://etablissements.fhf.fr/annuaire/establishment/structure2592-establishment11799
